Date,P1 : ]0 - 3] kW,P2 : ]3 - 9] kW,P3 : ]9 - 100] kW,P4 : ]100 - 250] kW,P5 : ]250 - 1000] kW,P6 : ]1000 - 12000] kW,P7 : > 12000 kW
20180221,3735408633.0,1243015325.0,4627024810.0,4963859961.0,7352205948.0,163656373602.0,14659463918.0
20180222,3823828581.0,1225189988.0,4547220264.0,4939479737.0,7551014760.0,179215196853.0,17761239321.0
20180223,3699769163.0,1151291183.0,4315265446.0,4773254276.0,7763645342.0,173857667175.0,17204047119.0
20180224,3631883945.0,1220789288.0,4539148454.0,4991278347.0,7679353115.0,182068743136.0,19026487915.0
20180225,3805297514.0,1296559926.0,4829569329.0,5178270880.0,7848756276.0,210024768665.0,21409561657.0
20180226,4069929494.0,1437394714.0,5310570356.0,5493822448.0,7848247091.0,222500953610.0,22794814125.0
20180227,3842393170.0,1387779081.0,5138280452.0,5270990090.0,7435456837.0,152985474909.0,12955926643.0
20180228,3014101546.0,903758777.0,3400337230.0,3960082740.0,6544423960.0,199068097238.0,21365948462.0
20180301,2617678833.0,615067447.0,2519951243.0,3464595802.0,6688197353.0,224304138896.0,24592736793.0
20180302,3177344988.0,1011873704.0,3999848185.0,4540829735.0,7433721758.0,177542086747.0,16662742294.0
20180303,3316987398.0,1133901911.0,4439094769.0,4851295655.0,7463329467.0,138285224969.0,12053136453.0
20180304,2601710471.0,718273202.0,2933326532.0,3798343036.0,7109519046.0,141127439262.0,14105447210.0
20180305,2955392419.0,896087842.0,3575179383.0,4293460443.0,7285390729.0,123246315621.0,10795875131.0
20180306,3129652339.0,979285633.0,3901345973.0,4524388793.0,7548868714.0,104756626591.0,8527946787.0
20180307,3396832247.0,1158475791.0,4548494280.0,4989255035.0,7610218217.0,162888763771.0,16584292281.0
20180308,3496411327.0,1317470658.0,5109771196.0,5429733397.0,7769436098.0,177664887575.0,18142749285.0
20180309,2455507818.0,680278779.0,2818112703.0,3811450240.0,7476890276.0,135321738475.0,12619024632.0
20180310,2753403192.0,782207092.0,3182263160.0,4118138467.0,7893473059.0,155510524835.0,16187482140.0
20180311,3237946648.0,1020157678.0,4050284400.0,4731472493.0,7889784912.0,148468852892.0,13838874215.0
20180312,2995659533.0,811796910.0,3475187641.0,4203359949.0,7821014691.0,232350004218.0,25781587910.0
20180313,3371917944.0,1147720100.0,4501856504.0,5080771122.0,8013072285.0,150080363954.0,15104770719.0
20180314,3774712441.0,1402720890.0,5441092430.0,5770420681.0,8188749165.0,169261873408.0,15773051045.0
20180315,3170997488.0,982444683.0,3890186939.0,4609298382.0,7775498985.0,153377626924.0,14489648220.0
20180316,3329765351.0,1107349095.0,4357663125.0,4972011329.0,7908913600.0,100095878203.0,7687532533.0
20180317,3036717862.0,929230343.0,3705057888.0,4544526024.0,7976714331.0,123954743742.0,9924677106.0
20180318,3149197307.0,903254806.0,3618278643.0,4444576070.0,7932747870.0,130465799486.0,11240458610.0
20180319,3541640125.0,1231994502.0,4783288525.0,5263650836.0,8080934678.0,118035926971.0,9137963396.0
20180320,3824659753.0,1411972068.0,5465594001.0,5703618700.0,7985155311.0,187277546421.0,18448013067.0
20180321,4034959789.0,1601605176.0,6186385912.0,6329269487.0,8172601962.0,133471705984.0,10769993931.0
20180322,3648415890.0,1369227786.0,5322585810.0,5671043140.0,8193913807.0,139266344267.0,11195504256.0
20180323,3375013894.0,1159905210.0,4713269067.0,5092332846.0,8003340139.0,125650906315.0,10636678261.0
20180324,3275295876.0,1092699005.0,4285008431.0,4820967343.0,7623637305.0,94780143891.0,7810858759.0
20180326,3708661598.0,1326920395.0,5125486822.0,5313954738.0,7780834075.0,98138754100.0,6810397508.0
20180327,2869995922.0,802882207.0,3714785235.0,4078155802.0,7598495375.0,158581305700.0,15697434993.0
20180328,3131381300.0,950262667.0,3811715110.0,4545690803.0,8071163989.0,180295816973.0,18936631854.0
20180329,3583106002.0,1206685185.0,4730886615.0,5235734166.0,8171681312.0,132306793014.0,11431271651.0
20180330,3271645481.0,1090068531.0,4308370133.0,4891801550.0,8077633467.0,140510153112.0,13734392314.0
20180331,3499063154.0,1204473551.0,4737903093.0,5181391393.0,8211192689.0,123844983245.0,10687039146.0
20180401,3964739916.0,1481684434.0,5716374380.0,5893537394.0,7935898281.0,102235428795.0,11192565460.0
